Period,Start,Wind Prod,Total Hydro,Total Hydro Dev,Prec Norway,Prec Norway 7,Coal,Gas,EEX,BL MC
36.0,2019-07-08,126499.3,92721.3,5454.1,82.4,299.4,48.1,10.7,34.5,32.1
67.0,2019-08-08,24473.4,93314.0,-2296.5,29.3,674.7,51.4,12.1,43.9,39.9
142.0,2019-10-22,58767.7,99730.6,-1044.0,106.4,763.6,54.1,16.3,40.7,36.8
179.0,2019-11-28,83292.4,87245.0,-7070.0,66.5,588.0,50.7,16.2,46.6,40.0
209.0,2019-12-28,42810.6,80250.8,-5323.4,43.8,734.7,48.1,15.1,28.2,36.5
322.0,2020-04-19,174610.1,43267.9,5755.8,96.1,303.2,42.0,7.5,13.4,4.5
36.0,2019-07-08,40291.0,93155.1,2654.1,29.8,373.7,51.3,11.5,42.7,36.4
67.0,2019-08-08,88228.7,95449.9,-1772.0,141.1,892.6,50.3,11.9,37.1,37.6
142.0,2019-10-22,98624.8,97918.7,-2378.4,90.7,408.3,51.7,16.2,40.6,38.5
179.0,2019-11-28,164261.5,84558.5,-6784.7,129.3,926.9,50.6,16.3,37.9,39.3
209.0,2019-12-28,199864.5,79556.1,-957.3,176.5,1208.3,47.3,13.2,33.4,31.3
322.0,2020-04-19,64467.4,41198.9,2801.0,24.0,239.3,39.1,7.2,15.4,4.8
36.0,2019-07-08,-86208.3,433.8,-2799.9,-52.6,74.3,3.2,0.8,8.3,4.2
67.0,2019-08-08,63755.3,2135.9,524.4,111.8,217.8,-1.1,-0.2,-6.9,-2.3
142.0,2019-10-22,39857.1,-1811.9,-1334.4,-15.7,-355.3,-2.4,-0.0,-0.1,1.7
179.0,2019-11-28,80969.1,-2686.6,285.3,62.7,338.9,-0.2,0.1,-8.7,-0.6
209.0,2019-12-28,157054.0,-694.7,4366.0,132.7,473.5,-0.8,-2.0,5.2,-5.1
322.0,2020-04-19,-110142.8,-2069.0,-2954.8,-72.1,-63.8,-2.9,-0.3,2.0,0.3
